timestamp,source_provider,source_region,source_ip,target_provider,target_region,target_ip,success,avg_latency,min_latency,max_latency,packet_loss,error,note
2025-08-02T02:34:42.745667,AWS,eu-central-1,18.184.239.190,GCP,europe-central2,34.118.31.88,TRUE,263.1,262,264,0,,
2025-08-02T02:34:52.116949,AWS,eu-central-1,18.184.239.190,GCP,europe-west12,34.17.122.250,TRUE,259.7,259,263,0,,
2025-08-02T02:35:01.508227,AWS,eu-central-1,18.184.239.190,GCP,europe-west4,34.13.152.183,TRUE,248.4,248,252,0,,
2025-08-02T02:35:10.803959,AWS,eu-central-1,18.184.239.190,GCP,northamerica-northeast1,34.152.17.65,TRUE,185.9,185,188,0,,
2025-08-02T02:35:20.210559,AWS,eu-central-1,18.184.239.190,GCP,southamerica-east1,34.95.199.13,TRUE,290.1,287,312,0,,
2025-08-02T02:35:29.528873,AWS,eu-central-1,18.184.239.190,GCP,us-east4,35.245.136.40,TRUE,178.7,178,181,0,,
2025-08-02T02:35:38.785854,AWS,eu-central-1,18.184.239.190,GCP,us-west1,34.168.233.222,TRUE,123,122,125,0,,
2025-08-02T02:35:48.308043,AWS,eu-south-2,51.48.91.118,AWS,af-south-1,13.245.236.16,TRUE,425.7,425,426,0,,
2025-08-02T02:35:57.499215,AWS,eu-south-2,51.48.91.118,AWS,ap-northeast-1,57.183.18.62,TRUE,46.3,46,47,0,,
2025-08-02T02:36:06.661822,AWS,eu-south-2,51.48.91.118,AWS,ap-northeast-2,3.35.173.236,TRUE,11.8,11,13,0,,
2025-08-02T02:36:15.917245,AWS,eu-south-2,51.48.91.118,AWS,ap-south-1,3.110.78.219,TRUE,138.9,138,140,0,,
2025-08-02T02:36:25.152502,AWS,eu-south-2,51.48.91.118,AWS,ap-southeast-1,13.229.101.72,TRUE,81.3,81,83,0,,
2025-08-02T02:36:34.479240,AWS,eu-south-2,51.48.91.118,AWS,ca-central-1,35.183.113.19,TRUE,185.8,185,186,0,,
2025-08-02T02:36:43.888706,AWS,eu-south-2,51.48.91.118,AWS,eu-central-1,18.184.239.190,TRUE,273.4,271,284,0,,
2025-08-02T02:36:53.315367,AWS,eu-south-2,51.48.91.118,AWS,eu-west-1,63.33.190.43,TRUE,273.4,273,274,0,,
2025-08-02T02:37:02.736345,AWS,eu-south-2,51.48.91.118,AWS,me-south-1,157.175.182.59,TRUE,294.6,294,295,0,,
2025-08-02T02:37:12.181659,AWS,eu-south-2,51.48.91.118,AWS,sa-east-1,52.67.230.2,TRUE,304.9,304,306,0,,
2025-08-02T02:37:21.505165,AWS,eu-south-2,51.48.91.118,AWS,us-east-1,13.223.204.77,TRUE,186.1,186,187,0,,
2025-08-02T02:37:30.764246,AWS,eu-south-2,51.48.91.118,AWS,us-west-1,54.193.216.187,TRUE,123.1,122,126,0,,
2025-08-02T02:37:39.899451,AWS,eu-south-2,51.48.91.118,GCP,asia-east2,34.92.77.143,TRUE,42.9,42,45,0,,
2025-08-02T02:37:49.073796,AWS,eu-south-2,51.48.91.118,GCP,asia-northeast1,34.146.113.141,TRUE,36.4,36,38,0,,
2025-08-02T02:37:58.342781,AWS,eu-south-2,51.48.91.118,GCP,asia-south1,34.93.67.233,TRUE,137.4,137,139,0,,
2025-08-02T02:38:07.564918,AWS,eu-south-2,51.48.91.118,GCP,asia-southeast1,34.126.128.161,TRUE,77.9,77,80,0,,
2025-08-02T02:38:16.823486,AWS,eu-south-2,51.48.91.118,GCP,australia-southeast1,35.244.90.228,TRUE,137.8,137,139,0,,
